Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สจจ.ลำปาง,ห้างหุ้นส่วนจำกัด ลำปางนิพนธ์บริการ,086-4202703,-@hotmail.com,0
สจจ.พิษณุโลก,โรงงานวงษ์พาณิชย์,"055-321555 ต่อ 126, 127, 137/ 089-9616644",111@gmail.com,0
สจจ.พิษณุโลก,บริษัท เอส.เค.เมเนจเม้นท์ แอนด์ ซัพพลาย  จำกัด,082-0922905,111@hotmail.com,0
สจจ.พิษณุโลก,ห้างหุ้นส่วนจำกัด วราภรณ์คลีนนิ่ง,"055-301998,089-8563190,081-8886919",Ms.thanyanat@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บ.เอกชัย ดีสทริบิวชั่น ซิสเทม จำกัด (เทสโก้โลตัส),0982971418,wongsuwan@th.tesco.com,1
สจจ.อุดรธานี,บริษัทฟ้าใสคอนสตรัคชั่นทูลส์ จำกัด (สาขาอุดรธานี),0505556000731,xxx@xxx.xxx,0
สจจ.อุดรธานี,บริษัท วี ที แหนมเนือง จำกัด,0622659489,nathamon.s@vt-namnueng.com,1
สจจ.อุดรธานี,บริษัท วี ที แหนมเนือง จำกัด,0622659489,nathamon.s@vt-namnueng.com,1
สจจ.อุดรธานี,บริษัท เวิลด์คอนกรีต จำกัด,099-6935396,wcon_ud@hotmail.com,1
สจจ.อุดรธานี,บริษัท น้ำจิ้มคุณนิด จำกัด,042-327661,udn_doe@hotmail.co.th,1
สจจ.อุดรธานี,บริษัทน้ำตาลไทย จำกัด,042-219850,xxx@xxx.xxx,0
สจจ.ลำพูน,บริษัท แอล.พี.ซี.อินดัสเทรียล จำกัด,053-982267-8,lumphunpattana@gmail.com,1
สจจ.ราชบุรี,บริษัท ฮ.เจริญวัสดุก่อสร้าง จำกัด,032-300141-4,triwathchunkesa@gmail.com,1
สจจ.ราชบุรี,บริษัท ไทยโคโคนัท จำกัด (มหาชน),032-741799,hr.fac@thaicoconut.com,1
สจจ.ราชบุรี,บริษัท ไทยโคโคนัท จำกัด (มหาชน),032-741799,hr.fac@thaicoconut.com,1
สจจ.สมุทรสาคร,บริษัท เดอะวัน ฟิตเนส เซ็นเตอร์ จำกัด(สมุทรสาคร),084-9009003,wandeetawnhome@windowlives.com,1
สจจ.สมุทรสาคร,บริษัท เมืองกระดาษ จำกัด,034-834189-90,rungrat@papercity.co.th,1
สจจ.สมุทรสาคร,บริษัท สุรีย์ อินเตอร์ฟู้ดส์ จำกัด(สมุทรสาคร),034-419400,Nichapa.a@sureefoods.com,1
สจจ.สมุทรสาคร,บริษัท เซ้าท์อีสต์เอเชี่ยนแพคเกจดิ่งแอนด์แคนด์นิ่ง จำกัด(สมุทรสาคร),034-419888,SP2HR@kingfisher.co.th,1
สจจ.สมุทรสาคร,บริษัท เอสดีซี บิวตี้ คอมพลีท(ไทยแลนด์ ) จำกัด (สมุทรสาคร),034-410856,siamhealthy.drink@gmail.com,1
สจจ.ราชบุรี,บริษัท ราชราตัน ไทย ไวร์ จำกัด,0898352992,hr.1@rajratan.co.th,1
สจจ.ราชบุรี,บริษัท พี.เอส.ดี.ขนส่ง จำกัด,"032-357418,089-9187227",wilaiwan@psdtransport.com,1
สจจ.ราชบุรี,บริษัท สยามพรีเสิร์ฟฟู้ดส์ จำกัด,"032-397117,397118,375239,375240,397666",hrspf@ramasiam.com,1
สจจ.ราชบุรี,บริษัท จี.เอส. เอ็นเนอร์จี จำกัด,032-375898-203,pui290799@gmail.com,1
สจจ.ปราจีนบุรี,ร้านรุ่งนิรันดร์ อลูมิเนียม,0863429108,ssssss@gmail.com,0
สจจ.ปราจีนบุรี,บริษัท เอ.เอ.แมนเนจเมนท์ จำกัด,-,aa00@gmail.com,1
สจจ.ปราจีนบุรี,บริษัท สหพัฒนพิบูล จำกัด (มหาชน) สาขาปราจีนบุรี,027777777,12@gmail.com,1
สจจ.น่าน,สุขุมสโตร์ท่าวังผา จำกัด,053242963,nan@doe.go.th,1
สจจ.พิษณุโลก,บริษัท พิษณุโลกบ่อทอง จำกัด,0644316204,111@hotmail.com,0
สจจ.ราชบุรี,บริษัท นำเชา (ประเทศไทย) จำกัด,032-330409,ncthr@namchow.co.th,1
สจจ.ประจวบคีรีขันธ์,โครงการชลประทานจังหวัดประจวบคีรีขันธ์,032-510798-9,koy_pkn@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท ไมด้า แอสเซ็ท จำกัด (มหาชน) สาขาประจวบคีรีขันธ์,032-603692,person@midaassets.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท เลิศพรธุรกิจ จำกัด สาขาประจวบฯ,0957412062,add_dona1@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,ลานปาล์มวรินทร(นิคม),081-9227918,koy_pkn@hotmail.com,1
สจจ.กระบี่,บริษัท สินธุเศรษฐ์ จำกัด,081-9569552,sintusate@gmail.com,1
สจจ.ภูเก็ต,มูลนิธิเพื่อสุนัขในซอย,0612382636,gob@soidog-foundation.org,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,กราวด์ เดต้า โพรบ จำกัด,029420023,admin@gdp.co.th,1
สจจ.นนทบุรี,บริษัท ไทยนครพัฒนา จำกัด,02-555-9999 ต่อ 1201,human_resource5@thainakorn.com,1
สจจ.สระบุรี,บริษัท ไทย อคริลิค ไฟเบอร์ จำกัด,036-240100*405,sasithorn.suksila@adityabirla.com,1
สจจ.สระบุรี,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) สระบุรี,036-251970-6,pppp@hotmail.com,0
สจจ.ตาก,บริษัท Monte maesot hotmal สาขาแม่สอด,0800784036,Im.montemaesothotel@gmail.com,1
สจจ.ตาก,บริษัท นอร์ทสตาร์แมนูแฟคเจอริ่ง,055542604,smartjobtak@hotmail.com,1
สจจ.กาญจนบุรี,บริษัท ทีเอ็มเค กาญจนบุรี เทรดดิ้ง  จำกัด,0632064551,hrtmk89@gmail.com,1
สจจ.กาญจนบุรี,นายกิตติพงศ์ บุญบริสุทธิ์,0863785291,000@gmail.com,0
สจจ.กาญจนบุรี,ซีพีเอฟ เทรดดิ้ง  จำกัด,0891395757,xxx@gmail.com,0
สจจ.นครพนม,บริษัท ซีพี ออลล์ จำกัด (มหาชน) สาขานาแก,094-0703565,xx.xx@xx.xx,0
สจจ.นครพนม,บริษัท เอก-ชัย ดิสทริบิวชั่น ซิสเทม จำกัด (เทสโก้โลตัส เอ็กซ์เพลส สาขานาแก),088-5302746,xx.xx@xx.xx,0
สจจ.นครพนม,บริษัท เฮียเล็ก นครพนม จำกัด,0992546298,npm@doe.go.th,1
สจจ.นครพนม,บริษัท ซีพี ออลล์ จำกัด (มหาชน) สาขา ปตท.นาแก,087-2236343,xx.xx@xx.xx,0
สจจ.แพร่,บริษัท โตโยต้าแพร่หล่อตระกูล ผู้จำหน่ายโตโยต้า จำกัด,054-660111,xxx@xxx.com,0
สจจ.ตาก,บริษัท มามาโฮมมาร์ท จำกัด,055-535404,smartjobmaesot@hotmail.com,1
สจจ.ตาก,บริษัท กรุงไทยแอกซ่าประกันชีวิต จำกัด (มหาชน) สาขาแม่สอด,0830979639,smartjob@hotmail.com,1
สจจ.ตาก,บริษัท เสรี กรีน พร๊อบเพอร์ตี่ จำกัด,097-2814544,smartjobmaesot@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เอกราชอุตหกรรมกระดาษ จำกัด,02-5181672,xxx@xxx.xxx,0
สจจ.บุรีรัมย์,บริษัท น้ำมันรำข้าวสุรินทร์ จำกัด,0816000896,xxx@hotmail.com,0
สจจ.มหาสารคาม,บริษัท ชายนันท์ก่อสร้าง จำกัด,043-771435 ต่อ 155,xxx@xxx.com,0
สจจ.มหาสารคาม,หจก.เอสทีเอสคอนกรีต เซ็นเตอร์,084-9526001,kasedsak_siri@hotmail.com,1
สจจ.นครพนม,บริษัท ซีพี ออลล์ จำกัด (มหาชน) สาขานาแก (บ้านแก้ง),080-3511469,xx@xx.xx.xx,0
สจจ.นครพนม,บริษัท เฮียเล็ก นครพนม จำกัด,0992546298,xx@xx.xx,0
สจจ.กาญจนบุรี,ศรีฟ้าโฟรเซนฟู้ด จำกัด,034613074,charintip@srifabakerr.co.th,1
สจจ.กาญจนบุรี,กนกรีไซเคิล,081-9819545,Doe.kan7100@gmail.com,1
สจจ.เพชรบุรี,บริษัทไทยฟอร์จจิ้ง เอนจิเนียริ่ง จำกัด,032566177,hr@thaiForging.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท วินด์เซอร์ปาร์ค แอนด์ กอล์ฟคลับ จำกัด,02-989-4200,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท วิลิ้งก์ เทคโนโลยี จำกัด,090-4565193,kittikhom@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ศุภาลัย จำกัด (มหาชน) สำนักงานใหญ่,0 2725 8888,hrd@supalai.com,1
สจจ.สมุทรปราการ,บริษัท ไทยธนารักษ์ 2508 จำกัด,02-3133788,tr_@thaithanarak2508.com,1
สจจ.สมุทรปราการ,บริษัท ซันเมอรี่ จำกัด,02-3855592,xxx@gmail.com,0
สจจ.สมุทรปราการ,บริษัท เบสต้า กู้ด โปร จำกัด,085-114-1010,hrbersta@gmail.com,1
สจจ.สมุทรปราการ,บริษัท ดีเอชแอล ซัพพลายเชน (ประเทศไทย) จำกัด (สมุทรปราการ),061-1431272,xxx@xxx.com,0
สจจ.นนทบุรี,บริษัท เซ็นทรัลแฟมิลี่มาร์ท จำกัด,028365999 ต่อ 841,weraphong.m@familymart.co.th,1
สจจ.นนทบุรี,บริษัท นวกิจอลูมินั่ม แอนด์ กลาส (2009) จำกัด,0938165546,hr@nawakij-aluminum.com,1
สจจ.อยุธยา,บริษัท ฟ้าใสคอนสตรัคชั่นทูลส์ จำกัด (อยุธยา),0931300124,mooroopmzwni@gmail.com,1
สจจ.ยโสธร,เกรียงศักดิ์ยโสธรปิโตรเลียม,0933265522,yso@doe.go.th,1
สจจ.สมุทรสงคราม,ไทยพูนทรัพย์พลาสติก จำกัด,034-710810,skm_75000@hotmail.com,0
สจจ.สมุทรสงคราม,บริษัท เรสเทอรองตส์ ดีเวลลอปเม้นท์ จำกัด,081-8259376,1643@rdthailand.com,1
สจจ.ประจวบคีรีขันธ์,บจก.ทองมงคลอุตสาหกรรมน้ำมันปาล์ม,032-818567/082-3540220,pom@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด เค.ที.พี.เอ็นจิเนียริ่ง(2019),"0879105225,0811956555",000@hotmail.com,0
สจจ.นครศรีธรรมราช,บริษัท สมาร์ทคอร์ปอเรชั่นคอมพิวเตอร์ จำกัด,"075-466853,089-9952109",Smart_Corperation@hotmail.co.th,1
สจจ.ชุมพร,บริษัทวิจิตรภัณฑ์ปาล์มออยล์ จำกัด (มหาชน) ชุมพร,0810839427,ning.areerat@hothail.com,1
สจจ.พังงา,บริษัท ศรีโรจน์ฟู้ดส์ จำกัด,076450129,ptothisan@gmail.com,1
สจจ.ชุมพร,บริษัท ชุมพรแอสฟัลท์ จำก,0881818823,doe.chumphon@gmail.com,1
สจจ.สงขลา,บริษัท ท้อปโกลฟ เทคโนโลยี (ประเทศไทย) จำกัด,074-410888 ต่อ 220,human.topglove@gmail.com,1
สจจ.สงขลา,บริษัทท้อปโกลฟ เมดิคอล (ไทยแลนด์) จำกัด,"074-410000 ต่อ 157,112",Aidah@topglove.co.th,1
สจจ.สงขลา,บริษัท เซฟสกิน เมดดิคอล แอนด์ ไซเอนทิฟิก (ประเทศไทย) จำกัด,074-410100,wiwat.rattanaboon@hyh.com,1
สจจ.สงขลา,บริษัทท้อปโกลฟ เมดิคอล (ไทยแลนด์) จำกัด,"074-410000 ต่อ 157,112",Aidah@topglove.co.th,1
สจจ.สงขลา,บริษัท อี ฮับ ฮวด จำกัด,074 - 292182 - 4,e_hup_huat@hotmail.com,1
สจจ.สงขลา,บริษัท พิธานพาณิชย์ จำกัด (ฝ่ายรถจักรยานยนต์สาขาหาดใหญ่),090-4950030,recruit.ptg@hotmail.com,1
สจจ.ปราจีนบุรี,หจ. วงศ์สุภาพพานิชย์,0,wongsupap@gmail.com,1
สจจ.นครราชสีมา,บริษัท ตงฮั้วบัวใหญ่ (1994) จำกัด,0-4429-2222 ต่อ 2142,tossporn@tonghuarioe.com,1
สจจ.เชียงราย,บริษัท เอ็ส แอนด์ เอ เอ็นเทอร์ไพรส์ จำกัด,0972952236,bestanusik23@gmail.com,1
สจจ.เชียงราย,บริษัท เอส วาย พี พร็อพเพอร์ตี้ จำกัด,0996151545,syp.priperty@gmail.com,1
สจจ.สมุทรปราการ,บริษัท โอเค ออโต้พาร์ท จำกัด,0-27569144,hrokautoparts@gmail.com,1
สจจ.นนทบุรี,บริษัท เค.อี.พี  จำกัด,02-197-6976,wk669@hotmail.com,1
สจจ.ตราด,เอ็ม เอ ซี. ไอแลนด์ เกาะช้าง จำกัด (โรงแรมแม็ครีสอร์ท),039551124,tratsmartjob@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด (มหาชน) สนง.ใหญ่,022385558,area1_doe@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท ไพรอนันต์  พาวเวอร์ จำกัด,02-1026598,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท ไทยฮอนด้า แมนูแฟคเจอริ่ง จำกัด,02-3260641-9,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท อ๊าร์ท-เสรีนา ปิสตัน จำกัด,02-3260384,xxx@xxx.xxx,0
สจจ.สมุทรปราการ,บริษัท แซมเพิ่ล ซอส จำกัด,027568354,weerapong@samplesource.co.th,1
สจจ.สงขลา,บริษัทนิสซุย  (ประเทศไทย) จำกัด,074-380282-6,Thachaya@nissui.com,1
สจจ.สงขลา,บริษัท หาดใหญ่ศุภสาร ทรานสปอร์ต จำกัด,074-256806-7,dechpia@hotmail.com,1
สจจ.สงขลา,บริษัท ไฮโกร ซิสเต็ม เอ็นจิเนียริ่ง จำกัด,"074-805123,074-805123",highgrow_sys@hotmail.com,1
สจจ.สงขลา,บริษัท พี.วี.เค.มอเตอร์ จำกัด,074-262640-5 ต่อ 409 / 085-1992826,pvkford.hr@gmail.com,1
สจจ.สงขลา,บริษัท เอ็ม.เจ.พาราวู๊ด จำกัด,074-370142-45,mjkitchen@yahoo.com,1
สจจ.สงขลา,บริษัท อินโนลาเท็กซ์ (ประเทศไทย) จำกัด,"074206111 ต่อ 101 , 272",sompong@karex.com.my,1
สจจ.สงขลา,บริษัท โรงพยาบาลศิครินทร์ หาดใหญ่ จำกัด,074310310 ต่อ 8851,sikarinhr2016@gmail.com,1
สจจ.นราธิวาส,บริษัท นรามุทธากิจ จำกัด,073631559,xxx@xxx.com,0
สจจ.นราธิวาส,บริษัท โรงเลื่อยไม้ไพร์ซออฟวู๊ด (นรา 2) จำกัด,"09-8686-8518,085-5536545",kimblock@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บจก.เอก-ชัย ดีสทริบิวชั่น ซิสเทม/พระราม 2,"02-8928130 ต่อ 303,305",xx_xxx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท เอเอ เมทเทิลสแคร๊ป จำกัด,02-4511126-7,xxx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บจก. สมาร์ท บิซ อินเตอร์เทรด,02-4160035,xx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท เบทาโกร เรสเทอรองท์ จำกัด,02-8337546,xxx@xxx.xxx,0
สจจ.อ่างทอง,ห้างหุ้นส่วนจำกัด เอส พี แอสฟัลต์ แพลนท์,0861548922,puy_0287@hotmail.com,1
สจจ.ชลบุรี,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน) สาขาชลบุรี,038-297500,praw.h@cpf.co.th,1
สจจ.น่าน,สุขุมสโตร์เวียงสา จำกัด,0910026434,ploy06434@gmail.com,1
สจจ.น่าน,รับตัดไม้ และซื้อไม้ไผ่ (โดยนายวัฒนา จารวัธน์),0894772582,xxx_xxx@hotmail.com,0
สจจ.นครศรีธรรมราช,บริษัท ธนราษฎร์ทุ่งสง จำกัด (โรงพยาบาลธนบุรีทุ่งสง),075808888,tth.hr@thonburithungsong.com,1
สจจ.พัทลุง,ห้างหุ้นส่วนจำกัด วิชิตบริการพัทลุง,074-613088,sjj2542@gmail.com,1
สจจ.สงขลา,บริษัท เอ็น เอส โคลด์ สโตเรจ จำกัด,074-336990-2,NS_JOB@HOTMAIL.COM,1
สจจ.สุราษฎร์ธานี,บริษัท แฮปปี้ แคร์ โกลฟ จำกัด,089-1957956,mamipod@hotmail.com,1
สจจ.นราธิวาส,ร้าน โคกเคียน รีไซเคิล,083-8861694,nannyrecycle@gmail.com,1
สจจ.หนองคาย,บริิษัท กิตติพงษ์พลาสติก จำกัด,0641738671,natgritta2016@gmail.com,1
สจจ.หนองคาย,บริษัท เมเจอร์ แกรนด์ ฟู๊ด แอนด์ เบเวอเรจ (เดอะพิซซ่า คอมปะนี 1112หนองคาย),098-1013646,nky@doe.go.th,1
สจจ.หนองคาย,บริษัท สยามแม็คโคร จำกัด (มหาชน) สาขาหนองคาย,042990818,kanlaya.nw2@gmail.com,1
สจจ.หนองคาย,บจ.ดี.พี.พร็อพเพอร์ตี้ฯ(โรงแรมรอยัลนาคารา หนองคาย),042-422889,natgritta2016@gmail.com,1
สจจ.สุราษฎร์ธานี,บริษัท แฮปปี้ แฮนด์ โกลฟ จำกัด,089-1957956,mamipod@hotmail.com,1
สจจ.ศรีสะเกษ,หกจ.ธงชัยอุตสาหกรรม 2010,0819660415,ssk@doe.go.th,1
สจจ.ระยอง,ห้างหุ้นส่วนจำกัด รุ่งทรัพย์,095-4596104,Naronsak.k2504@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท ว่านไทย เอส ที โปรดักส์  จำกัด,029457581 - 3,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท เอ็ม.เอ็ม.เค คอมเมอร์เชียล,02-9705798-9,somchai_mmk@yahoo.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๖,บจก.เกร๊ทเตอร์ฟาร์ม่า,0-2886-8190-9 ต่อ 311,pakkanan@greaterpharma.com,1
สจจ.สระบุรี,บริษัท วิริยะโลหะกิจ จำกัด สระบุรี,036-7122222-28,viriyalohakij.hr@gmail.com,1
สจจ.สระบุรี,หจก. บี เอ็น 54 คอนสตรัคชั่น จำกัด,0961532982,bn_54@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ธัญวิลล์ จำกัด,02-1086017,000@thaniyagrop.com,0
สจจ.ประจวบคีรีขันธ์,บริษัท บุญถาวร เซรามิค จำกัด สาขาหัวหิน,032-522555,thitipat@boontavorn.com,1
สจจ.ประจวบคีรีขันธ์,บจก.จ.เจริญออโต้เซลล์,032-520999,fordhuahin.hr@gmail.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท ไทยธนา ประจวบ จำกัด,091-7790552,koy_pkn@hotmail.com,1
